v,x,true
0.,0.1,4.059977149632328
0.,0.10592537251772889,3.9186917135020933
0.,0.11220184543019636,3.783796005104383
0.,0.11885022274370183,3.654997674897343
0.,0.12589254117941673,3.5320182948151206
0.,0.1333521432163324,3.4145926725172577
0.,0.14125375446227545,3.3024681996207192
0.,0.14962356560944334,3.1954042322143055
0.,0.15848931924611134,3.093171502043165
0.,0.16788040181225602,2.995551556834568
0.,0.1778279410038923,2.9023362283152565
0.,0.18836490894898006,2.8133271265458903
0.,0.19952623149688797,2.728335159269283
0.,0.21134890398366465,2.6471800750367938
0.,0.223872113856834,2.569690028941271
0.,0.23713737056616552,2.4957011698457143
0.,0.251188643150958,2.425057248054361
0.,0.26607250597988097,2.3576092424274697
0.,0.28183829312644537,2.293215005992617
0.,0.298538261891796,2.231738929154217
0.,0.31622776601683794,2.17305161964915
0.,0.33496543915782767,2.117029598440025
0.,0.35481338923357547,2.0635550107788396
0.,0.3758374042884442,2.012515351712702
0.,0.3981071705534973,1.9638032053399723
0.,0.4216965034285822,1.9173159971597413
0.,0.44668359215096315,1.8729557588901182
0.,0.4731512589614805,1.8306289051613975
0.,0.5011872336272724,1.7902460215189433
0.,0.5308844442309885,1.7517216631976436
0.,0.5623413251903491,1.714974164155152
0.,0.5956621435290105,1.679925455874866
0.,0.6309573444801934,1.6465008954719256
0.,0.6683439175686147,1.614629102656359
0.,0.707945784384138,1.5842418051270912
0.,0.7498942093324559,1.5552736919888772
0.,0.7943282347242815,1.5276622748014297
0.,0.8413951416451951,1.501347755886174
0.,0.8912509381337457,1.4762729035312796
0.,0.9440608762859236,1.452382933749933
0.,1.,1.4296253982604021
0.,1.059253725177289,1.4079500783692487
0.,1.1220184543019636,1.3873088844513293
0.,1.1885022274370183,1.3676557607318762
0.,1.2589254117941675,1.3489465950872233
0.,1.333521432163324,1.3311391335915495
0.,1.4125375446227548,1.3141928995475596
0.,1.4962356560944337,1.2980691167492509
0.,1.584893192461114,1.2827306367349476
0.,1.6788040181225607,1.2681418697986973
0.,1.7782794100389228,1.2542687195377853
0.,1.883649089489801,1.2410785207238595
0.,1.9952623149688797,1.2285399802946444
0.,2.1134890398366477,1.2166231212727925
0.,2.23872113856834,1.205299229427835
0.,2.371373705661655,1.1945408025066222
0.,2.511886431509581,1.1843215018669702
0.,2.6607250597988097,1.1746161063585068
0.,2.818382931264455,1.1654004683038819
0.,2.9853826189179604,1.1566514714425615
0.,3.1622776601683795,1.1483469907083383
0.,3.3496543915782775,1.1404658537204353
0.,3.548133892335755,1.1329878038766006
0.,3.758374042884443,1.1258934649448873
0.,3.981071705534973,1.1191643070588284
0.,4.216965034285822,1.112782614028435
0.,4.466835921509633,1.1067314518868168
0.,4.731512589614805,1.1009946385992664
0.,5.011872336272725,1.0955567148682752
0.,5.308844442309884,1.0904029159741901
0.,5.623413251903491,1.085519144597066
0.,5.956621435290106,1.080891944570649
0.,6.309573444801933,1.0765084755244256
0.,6.683439175686149,1.0723564883741994
0.,7.07945784384138,1.068424301625797
0.,7.498942093324558,1.0647007784601994
0.,7.943282347242818,1.061175304571716
0.,8.413951416451951,1.0578377667337233
0.,8.91250938133746,1.0546785320690446
0.,9.440608762859236,1.0516884280042718
0.,10.,1.0488587228891766
0.,10.592537251772887,1.0461811072639928
0.,11.220184543019641,1.043647675758626
0.,11.88502227437019,1.0412509096089495
0.,12.589254117941675,1.0389836597761823
0.,13.33521432163324,1.0368391306560227
0.,14.12537544622754,1.0348108643646892
0.,14.962356560944343,1.0328927255893927
0.,15.848931924611142,1.031078886991001
0.,16.788040181225607,1.0293638151467628
0.,17.78279410038923,1.0277422570210675
0.,18.836490894898002,1.0262092269521657
0.,19.952623149688808,1.0247599941427705
0.,21.134890398366476,1.0233900706423427
0.,22.3872113856834,1.0220951998088144
0.,23.71373705661655,1.0208713452373543
0.,25.11886431509582,1.0197146801437316
0.,26.607250597988113,1.0186215771896834
0.,28.18382931264455,1.0175885987376743
0.,29.853826189179603,1.0166124875223466
0.,31.622776601683793,1.0156901577259256
0.,33.496543915782794,1.014818686444863
0.,35.48133892335757,1.013995305535003
0.,37.58374042884443,1.0132173938225997
0.,39.810717055349734,1.0124824696686217
0.,42.169650342858226,1.0117881838738483
0.,44.668359215096345,1.0111323129124274
0.,47.315125896148075,1.010512752481687
0.,50.11872336272725,1.0099275113562194
0.,53.08844442309885,1.009374705534409
0.,56.23413251903491,1.0088525526658418
0.,59.56621435290109,1.0083593667482496
0.,63.095734448019364,1.0078935530828974
0.,66.83439175686149,1.0074536034776265
0.,70.79457843841381,1.0070380916869845
0.,74.98942093324558,1.0066456690792327
0.,79.43282347242821,1.006275060520277
0.,84.13951416451955,1.00592506046487
0.,89.12509381337459,1.005594529245782
0.,94.40608762859236,1.0052823895518883
0.,100.,1.0049876230864832
0.,105.92537251772897,1.0047092673974167
0.,112.20184543019641,1.0044464128709532
0.,118.85022274370189,1.004198199881577
0.,125.89254117941675,1.0039638160902569
0.059253725177288885,0.1,4.682783329183727
0.059253725177288885,0.10592537251772889,4.506092616035045
0.059253725177288885,0.11220184543019636,4.337806404536864
0.059253725177288885,0.11885022274370183,4.177517688783012
0.059253725177288885,0.12589254117941673,4.0248399063469025
0.059253725177288885,0.1333521432163324,3.879405881668923
0.059253725177288885,0.14125375446227545,3.7408668245096353
0.059253725177288885,0.14962356560944334,3.608891380570449
0.059253725177288885,0.15848931924611134,3.483164731539695
0.059253725177288885,0.16788040181225602,3.3633877419694262
0.059253725177288885,0.1778279410038923,3.2492761505280545
