v,x,true
0.,0.1,0.8866843666787421
0.,0.10592537251772889,0.8630533190318449
0.,0.11220184543019636,0.838888416490564
0.,0.11885022274370183,0.8141678697097479
0.,0.12589254117941673,0.7888687318557837
0.,0.1333521432163324,0.7629668290853122
0.,0.14125375446227545,0.7364366866614278
0.,0.14962356560944334,0.7092514504366007
0.,0.15848931924611134,0.6813828034156518
0.,0.16788040181225602,0.6528008770953934
0.,0.1778279410038923,0.6234741572599007
0.,0.18836490894898006,0.5933693838918169
0.,0.19952623149688797,0.5624514448405185
0.,0.21134890398366465,0.5306832628673729
0.,0.223872113856834,0.4980256756666022
0.,0.23713737056616552,0.4644373084374064
0.,0.251188643150958,0.4298744385589025
0.,0.26607250597988097,0.3942908518940548
0.,0.28183829312644537,0.35763769022201053
0.,0.298538261891796,0.3198632892700483
0.,0.31622776601683794,0.2809130067866012
0.,0.33496543915782767,0.24072904006543475
0.,0.35481338923357547,0.1992502322979496
0.,0.3758374042884442,0.15641186709561322
0.,0.3981071705534973,0.11214545048760748
0.,0.4216965034285822,0.06637847965975727
0.,0.44668359215096315,0.019034197659569856
0.,0.4731512589614805,-0.0299686667514129
0.,0.5011872336272724,-0.08071617496290498
0.,0.5308844442309885,-0.13329947101262243
0.,0.5623413251903491,-0.18781509168006272
0.,0.5956621435290105,-0.2443652951977225
0.,0.6309573444801934,-0.3030584096582996
0.,0.6683439175686147,-0.364009202258071
0.,0.707945784384138,-0.4273392705820342
0.,0.7498942093324559,-0.49317745720580863
0.,0.7943282347242815,-0.5616602889629606
0.,0.8413951416451951,-0.6329324423046367
0.,0.8912509381337457,-0.7071472362614593
0.,0.9440608762859236,-0.7844671546058654
0.,1.,-0.8650643989067881
0.,1.059253725177289,-0.9491214742681323
0.,1.1220184543019636,-1.036831809648249
0.,1.1885022274370183,-1.1284004147699633
0.,1.2589254117941675,-1.224044575750023
0.,1.333521432163324,-1.3239945917035598
0.,1.4125375446227548,-1.4284945547137715
0.,1.4962356560944337,-1.5378031756998534
0.,1.584893192461114,-1.652194658867965
0.,1.6788040181225607,-1.7719596275909484
0.,1.7782794100389228,-1.897406104733371
0.,1.883649089489801,-2.0288605506196813
0.,1.9952623149688797,-2.1666689620354664
0.,2.1134890398366477,-2.311198035855674
0.,2.23872113856834,-2.4628364011096693
0.,2.371373705661655,-2.621995923522147
0.,2.511886431509581,-2.7891130868115495
0.,2.6607250597988097,-2.964650455284899
0.,2.818382931264455,-3.149098222540403
0.,2.9853826189179604,-3.342975851377723
0.,3.1622776601683795,-3.546833810321549
0.,3.3496543915782775,-3.7612554124876896
0.,3.548133892335755,-3.986858762863666
0.,3.758374042884443,-4.22429882043868
0.,3.981071705534973,-4.474269582001955
0.,4.216965034285822,-4.737506394835271
0.,4.466835921509633,-5.0147884059560255
0.,4.731512589614805,-5.306941156023064
0.,5.011872336272725,-5.614839326500147
0.,5.308844442309884,-5.939409649182742
0.,5.623413251903491,-6.281633987734854
0.,5.956621435290106,-6.6425526014551926
0.,6.309573444801933,-7.023267602098335
